set-up,punchline,label
"My girlfriend tried to take a selfie in the shower, but said it was too blurry.",She has selfie steam issues.,1
Alabama changed the legal drinking age to 33.,They're trying to keep it out of high schools.,1
How do you get rid of a fat ghost?,Exorcise it.,1
I got hit on the head with a can of soda yesterday.,Lucky it was a soft drink,1
Golfer A: I got a set of golf clubs for my wife.,Golfer B: Good trade!,1
I just realized my countertop is made of marble..,I've been taking it for granite for years.,1
What do you call houses that have good behavior?,Manors.,1
Asked my friend what he'd do if the 1st Amendment was abolished.,He couldn't say,1
What's the difference between a refugee and E.T?,E.T learned English and wanted to go home.,1
A truck loaded with Vicks Vaporub overturned on the highway.,"Amazingly, there was no congestion for eight hours.",1
What do you call an ugly dinosaur?,An eyesaur.,1
Why do gay men float?,Flambuoyancy,1
How can you tell if a groom is Polish?,He would be the one with the clean bowling shirt.,1
What do you call a Catholic Missionary who is also a car enthusiast?,A Catholitic Converter,1
My girlfriend dumped me on a fishing trip.,She left me reeling.,1
Did you hear about McDonald's trying to get into the steakhouse market?,It was a big McSteak.,1
"What do you call a group of well-endowed, homosexual physicists?",Large hardon colliders,1
"I knew a fat doctor once, who was obsessed with the weather.",He was a meaty urologist.,1
I warned my daughter about using her whistle inside and gave her one last chance.,"Unfortunately, she blew it.",1
Where are average things manufactured?,The satisfactory.,1
Is there really such a thing as bisexual...,Isn't it just homos getting it right occasionally?,1
Q: What's a little quicker than a shark?,A: The Little Mermaid on her period.,1
How many birds does it take to change a lightbulb?,"Ideally three, but Toucan.",1
What kind of tree has the best bark?,A dogwood h,1
Why did the feminist cross the road?,To suck my cock!,1
What do you get when you cross a Mexican with an Asian?,A car thief who can't drive.,1
Who can drink 5 litres of petrol and not become ill?,Jerry can.,1
I just joined a gym for religious minorities.,Jehova's Fitness,1
My girlfriend and I always like to laugh about how competitive we are.,But I laugh with more intensity and greater strength.,1
"My wife is ""like a plunger"" when she gets drunk.",She likes to bring up old shit.,1
Statistics show that vegetarians live on average ten years longer than meat eaters.,Ten long miserable years.,1
What do you call a doctor who is half man and half horse?,A centaur for disease control.,1
"The only thing we have to fear is Gerald Fear, of Sheboygan, Wisconsin.",He is a serial killer.,1
"New Years Resolutions last week: Drink less, Get fit, Spend more time with my kids.",New Years Resolutions this week: Spend less time drinking around my fit kids.,1
Why did the Mexican push his wife off a cliff?,Tequillllaaaa,1
What do you call a gay guy paralyzed from the neck down?,A Tomato (because he's both a fruit AND a vegetable),1
What did the Mexican guy get for Christmas?,His verdict.,1
What do you call an overused tyre?,Tyred.,1
What do you call a lesbian Eskimo?,A Klondike.,1
I dated a girl in a wheelchair.,She broke up with me because I kept pushing her around.,1
"I have a bumper sticker that says, ""honk if you think I'm sexy"".",I just sit at green lights until I feel good about myself.,1
"Damn girl, are you a 48-pack of frozen corn dogs?",Because I thought it would last forever.,1
Why wasn't Cinderella allowed to play soccer?,Because she kept running away from the ball.,1
A banker broke up with his girlfriend...,He lost interest.,1
Why does the American border patrol guard take Xanax?,To stop hispanic attacks.,1
I can't take my dog to the pond anymore because the ducks keep attacking him.,Guess that's what I get for having a pure bread dog.,1
I'm sending our Christmas cards.,Can I get everyone's address and credit card number/expiry date?,1
Did u hear about the prostitute with no legs?,She's selling it for half off.,1
I have a condition that makes me eat when I can't sleep.,It's called insom-nom-nom-nom-nom-nia,1
"I work in security, and i want to get a pumpkin for my desk.",It'll be my security gourd.,1
Why does all Turkish men have a mustache?,because they wanna look like their mother.,1
Why can't two Asians have a white baby?,Because two wongs don't make a white,1
What do you call a Mexican Buddhist?,Om-bre,1
Why don't Chinese kids believe in Santa?,Because they make the toys,1
My wife asked why I keep my guns in the library.,I said it's for shelf-defense.,1
What is it called when two flowers have an unplanned pregnancy?,An oopsie-daisy,1
Never go to bed angry.,Sleep on the couch.,1
What does the head of the Catholic Church used to buy goods online?,Papal,1
My wife blocked me on Facebook because I post too many bird puns.,"Well, toucan play at that game.",1
My wife and I are just going to have a quiet night at home for New Year's Eve.,Translation: My wife and I didn't get invited to any parties for New Year's Eve.,1
My butt is itchy.,Someone must be talking about it.,1
Why is Italy shaped like a boot?,"Well, can't fit that much shit in a sneaker!",1
Just witnessed a white girl take a selfie with her coffee in Starbucks.,I always heard the legends but never thought I'd see it in the wild.,1
YOU: I feel so much better since I started eating more fruits and vegetables.,ME: [lighting a french fry like a cigarette] You're weak.,1
What do a slinky and your mother in law have in common?,They're both fun to watch tumble down stairs.,1
What did the little mountain say to the big mountain?,Hi Cliff!,1
What's the difference between Santa Claus and A Black Rapper?,Santa stops after three hoes.,1
How did Chris Browns girlfriend find out he was cheating on her?,She found another woman's lipstick on his knuckles.,1
Did you hear about the blind porcupine?,He fell in love with a pincushion!,1
Did you know that there are no canaries in the Canary Islands?,And the same thing applies to the Virgin Islands; There are no canaries there either.,1
Did you hear about the gay French baker?,Faguette,1
What do they call pita bread in Mexico?,Pita pan,1
"My wife left me because ""I am addicted to video games""..",I was so sad I could hardly console myself,1
What happened to the blind circumcisor?,He got the sack.,1
I like my women how I like my bicycles.,Chained up in the garage and two tired for movement.,1
What did the Pharaohs use to keep their babies quiet?,Egyptian dummies.,1
How do you know when it's time to get a new dishwasher?,"When the old one expects you to ""do your share""",1
What's the difference between a feminist and a gun?,A gun only has one trigger.,1
I regret rubbing ketchup in my eyes.,But that's Heinz sight for you.,1
My girlfriend asked me why I was blow-drying my crotch...,"Apparently ""heating your dinner"" was not the response she was looking for.",1
Attractive women post selfies and refer to themselves as ugly.,"As a group, if we begin agreeing with them we could stop that shit quick.",1
Why did the pig buy flour and sugar?,He felt like bacon.,1
What's the difference between a casino and a church?,You actually mean it when you pray at a casino.,1
What's the difference between a Mexican and an elevator?,One can raise a child.,1
What do you call a cold Jewish person?,Iceberg.,1
What do gays and melons have in common?,cantaloupe...,1
What do you call a fruit that is a vegetable?,A crippled homo.,1
Got a new job at the guillotine factory.,I'll beheading there shortly.,1
My father saved up his whole life so he could be cremated.,He urned it.,1
What's Dracula's favourite type of coffee?,Decoffinated.,1
Why do the French like to eat snails so much?,They can't stand fast food.,1
"Don't ever break a women's heart, they've only got one.",Break their fucking bones they've got over 200 of those.,1
Why do black women wear high heels?,To stop their knuckles dragging on the floor.,1
So I'm gay and single ....,Does that make me homolone?,1
I'm in a very serious relationship with my girlfriend.,Haven't laughed in two years.,1
Did you hear about the newly sponsored gay NASCAR team?,Its always in the rear of the field.,1
British people be like: I'm bri ish.,I guess they drank the t.,1
What's a Tennessee tornado and a Texas divorce have in common?,Someone's gonna lose a trailer.,1
What do you call a Jewish rapper?,A rappi.,1
"Guy says, ""damn, there should be a law against having sex this good!""","The girl said nothing, for the drugs had left her unconscious.",1
Where can Sihks and Muslims buy headwear?,Turban Outfitters.,1
[Deathbed Confession] I wish I'd listened to my girlfriend more often.,Especially as I crossed the road after she yelled BUS.,1
What do they call fat chicks in France?,American tourists!,1
How did Rihanna find out Chris Brown was cheating on her?,She found another woman's lipstick on his knuckles.,1
What happens if Usain Bolt misses his bus?,He waits for it at the next stop.,1
What language do oranges speak?,Mandarin.,1
What's the difference between redneck newlyweds and two variables in a dataset?,The variables aren't necessarily related.,1
Cremation isn't free.,You gotta urn it.,1
"All these people getting emails from the Prince of Nigeria, I got one from an Egyptian Pharaoh.",It turned out to just be a pyramid scheme.,1
You always have to be extra careful when driving through a predominantly black neighborhood at night.,Because black people are super hard to see in the dark.,1
What kind of shoes do bakers wear?,Loafers.,1
What is the difference between a straight man's mustache and a gay man's mustache?,The smell.,1
I've never told anyone this before but I used to frequently masturbate with hand soap.,It feels good to come clean.,1
"I couldn't join the KKK if I wanted to, my bloodline isn't pure enough.",Turns out my parents weren't even related.,1
What Does A Chinese Man Need When Taking his Dog Out?,Oven mitts.,1
What do you call a hooker with no limits?,Your mom.,1
What if Stephen Hawking is the real Slim Shady?,"But we'll never know, because he can't stand up?",1
Science gave us skyscrapers and airplanes...,Religion brought them together,1
"Sometime in the future, Canada will rule the earth.",And then they'll be sorry.,1
What do pigs and ink have in common?,They both belong in a pen.,1
What do you call a beehive that has no exits?,Un-bee-lievable.,1
My son is now at that age where he's curious about the human body.,I guess I'll have to hide it somewhere else now.,1
Marvel have announced their first transgender super hero.,Wonder Womb-man will be in cinemas this summer....,1
What do you say to your sister when she's crying?,Are you having a crisis?,1
"I just told a group of teens they were ""lit af"" and to ""stay extra woke"".","I have no idea what any of that means, but I've never felt cooler.",1
Where do fat people live?,Obe-city,1
What do you call a Muslim optician who doesn't give a fuck about his patients?,Asif Eyecare,1
How many muslims does it take to screw in a lightbulb?,Sorry comments are unavailable on this joke.,1
How did the prostitute get a job at the zoo?,They heard she could handle a cockatoo.,1
How do you greet a gay Hispanic?,Homo Estas!,1
wanna hear a dark joke?,africas population,1
How do you excite an idiot?,I'll tell you later.,1
What do you call Watson when Sherlock isn't around?,Holmeless,1
Why aren't Mexicans ever indecisive?,Because if they're on the fence too long they get caught.,1
What do you call when a female physicist decides to try dating women for a change?,The double slit experiment.,1
I think my girlfriend has a blind fetish.,Last night she said we should stop seeing each other.,1
What do Germans look at on the internet?,Danke memes,1
Where do most black people work?,In jail,1
Did you hear about the Egyptian boatman who refused to believe his craft was sinking?,He was in denial,1
"I was in an American school library recently, going through a few magazines.",Then my fucking rifle jammed.,1
"Wife: [watching the news] oh God, did you see Petsmart got robbed?!",Me: [loud barks coming from all 19 pockets of my parachute pants] nope,1
My doctor asked if I drink to excess.,I told him I'll drink to anything.,1
My wife just walked into a huge spider web.,She is now a black belt in karate.,1
What do they eat for breakfast in africa?,Ebola cereal,1
What do you call an epileptic in a vegetable garden?,A seizure salad,1
How do locomotives hear?,Through the engineers.,1
You call it armed robbery.,I call it people giving me gifts to celebrate my new gun.,1
I never chase a man.,I always go for the ones who are too fat to run.,1
I have just released my own fragrance.,The people sitting near me on the bus don't look like they appreciate it.,1
"If you show me your boobs, I'll show you my tattoos.",Tit for tat.,1
What tea do rich people buy?,Property.,1
I tried telling a joke my friend from Baghdad told me.,"Unfortunately, Iraqed it.",1
I've heard seven cancer jokes today.,If I hear tumor it's gonna benign.,1
"I wanted to name my son Lance, but my wife said it was too uncommon.","I told her that in medieval days, people were named Lance a lot.",1
I hate it when adults try to relate to youth using slang.,Guess that's what makes me a woke bae.,1
I'm leaving for two week and willl not have any internet service.,Get me too 1000 followers by the next two weeks and ill save relationships,1
"I asked my wife for the newspaper, but she said, ""Just use my iPad.""",That spider never knew what hit it.,1
Why are so many African Americans moving to Detroit?,Because they hear there are no jobs there.,1
My doctor says I should eat more red meat and drink more alcohol.,"BTW, I consider all waiters doctors.",1
Have you seen the new documentary about rednecks?,I've only seen the trailer.,1
I left my Adderall in my Ford Fiesta.,Now it's a @FordFocus,1
What do a horny ornithologist and a Na'vi buff have in common?,They both get turned on by blue tits.,1
Why do Catholics eat fish on Good Friday?,Because Jesus died for our fins.,1
I wish I could see what it was like to be fat for just one day.,I'm tired of being fat every day.,1
I told my suicidal son that time is the greatest healer.,Stupid bastard jumped off Big Ben.,1
YOU: I hate fun words.,ME: [Pugnaciously] I fricken love em.,1
Heading to Chinatown after work...,I heard it's Erection Day.,1
Bullets are so weird.,They only do their job AFTER they're fired,1
Why do black people put their garbage in clear trash bags?,So the Mexicans can window shop.,1
What do you call India's top TV Show?,Dan Singh with the Sitars,1
What you called a fat Chinese man?,Chunk,1
Have you seen Mount Rushmore before it was carved?,It was unprecedented.,1
How do you blindfold an Asian person?,You put floss over his eyes.,1
What do you call a closet full of lesbians?,A liquor cabinet.,1
"As a cop, I can't play PokemonGo...",So I play Pokemon blacks: Gotta catch Jamal.,1
Catholic church must be serious.,"Everything with Mass has gravity, after all.",1
Life is like a box of chocolates...,It doesn't last long for fat people.,1
"My wife hated my impulse purchase of a revolving chair, but then she sat on it.",Eventually she came round.,1
What do you call a blue-eyed blonde that doesn't eat meat?,A vegetaryan,1
What's it called when you sneak into a homosexual wedding?,"A gay-tecrash Dad joke, right there",1
My parents treat me like a god.,They don't believe in me,1
Why is Kim Jong-Un so chubby?,Because he never had to run for office,1
Why are most male squirrels gay?,Cuz they love nuts!,1
"Husband says to his wife ""do you smell that"" wife says ""no?""","Husband says ""me neither so start cooking""",1
What's the difference between a Caucasian and an asian?,The cauc.,1
What's the difference between a police officer and a bullet?,"When a bullet kills someone else, you know it's been fired",1
With gay marriage being legal now does that mean we don't have to call them butt buddies anymore?,Good because that was a pain in the ass.,1
I told my wife I wanted to be cremated.,She made an appointment for Tuesday.,1
What do you call a gay philosopher?,Pyfagoras,1
What times does the chinaman go to the dentist?,Tooth-hurty,1
"I like doing the washing up, it's meditative and helps me make important decisions.","For example, last night I decided my wife is lazy so I'm going to divorce her.",1
How is playing a bagpipe like throwing a javelin blindfolded?,You don't have to be very good to get people's attention.,1
What did the grape do when he got stepped on?,He let out a little wine.,1
What do you call a group of homosexual musicians from India who never get to play out?,A Gay Raj band,1
What is the name of the Asian pointing out everyones mistakes?,Xu wong,1
What's the difference between Jesus and a vagina?,A vagina is still good after a couple of nails,1
I used to shave my testicles with a razor blade.,"But since I got Parkinson's, I don't have the balls to do it anymore.",1
A parody of The Mandalorian but it’s The Mindalorian?,Am I’m in the whole costume but doing Mindy-type stuff?,1
Why do women fake orgasms?,Because they think men care.,1
Twitter has been abuzz over Selena Gomez's spray tan at the Met Gala.,"In other news, we may be having a nuclear war with Iran.",1
What do you call 2000 mockingbirds?,Two kilomockingbirds (credit goes to my old physics book),1
What superhero gets hurt the easiest?,Bruise Wayne.,1
"Honey, I made the news!",Apparently that old lady I fought at the library wasn't a ghost,1
"My son asked me ""Dad, what are condoms used for?""","Me: ""Usually, to avoid answering questions like these.""",1
When is the worst time to have a heart attack?,During a game of charades haha,1
Do you guys remember when I told you about my spine issue?,It was about a week back.,1
What do you call a cheap hooker's snatch?,Death Valley.,1
What's the difference between batman and a black man?,Batman can go out at night without Robin.,1
In college I was so broke I couldn't afford the electricity bill.,Those were the darkest days of my life.,1
Scientists publish the first picture of black hole...,I saw that several years ago on Pornhub.,1
How does a penguin build a house?,Igloos it together.,1
Why are aspirins white?,Because they work sorry,1
What do rioting jewish people throw?,Mazel tov cocktails,1
Why are there no transvestites in space?,Because there is zero drag.,1
Why did the sad ghost use an elevator?,To lift his spirits.,1
Are there any prostitutes you can hire just to talk to you???,Apparently they are called therapist.,1
My boss touched me inappropriately at work today.,"Its okay though, i'm self-employed",1
I once won a fight that was five against one.,We really kicked the shit out of that guy.,1
What type of sea creature do Chinese fishermen catch?,Crust-asian,1
What do you call a bunch of little black kids playing in leaves?,Raisin Bran rofl,1
